\DeltaU		P(\DeltaU)	
1.362500000000000355e+01 5.755373856608378811e-08
1.417500000000000426e+01 2.858526490060532839e-08
1.472500000000000497e+01 1.455522781465763727e-08
1.527500000000000568e+01 7.397102499947029418e-09
1.582500000000000284e+01 3.646619937074828904e-09
1.637500000000000355e+01 1.900121289080132153e-09
1.692500000000000426e+01 9.352821051482308375e-10
1.747500000000000497e+01 4.736459135573243374e-10
1.802500000000000568e+01 2.429095967865419954e-10
1.857500000000000284e+01 1.187810223874407597e-10
1.912500000000000355e+01 6.367545720897122103e-11
1.967500000000000426e+01 3.228670818967341789e-11
2.022500000000000497e+01 1.627838359622304971e-11
2.077500000000000568e+01 8.152001574531819105e-12
2.132500000000000639e+01 4.071673328095812358e-12
2.187500000000000711e+01 2.129582830365743640e-12
2.242500000000000426e+01 1.056550185910559613e-12
2.297500000000000497e+01 5.713104890909639652e-13
2.352500000000000568e+01 2.840273850613042994e-13
2.407500000000000639e+01 1.435530340381955351e-13
2.462500000000000711e+01 7.249759243568330727e-14
2.517500000000000426e+01 3.644268866038690707e-14
2.572500000000000142e+01 1.971685336098488839e-14
2.627500000000000568e+01 1.041590383156919935e-14
2.682500000000000995e+01 4.967163660900910874e-15
2.737500000000000711e+01 2.471168809151217711e-15
2.792500000000000426e+01 1.337648052254580549e-15
2.847500000000000142e+01 7.428247219847054530e-16
2.902500000000000568e+01 3.645122596378532540e-16
2.957500000000000995e+01 1.892226954093356383e-16
3.012500000000000711e+01 9.700840558531128740e-17
3.067500000000000426e+01 4.973095234249779805e-17
3.122500000000000142e+01 2.439342264762032133e-17
3.177500000000000568e+01 1.317974942824049331e-17
3.232500000000000995e+01 7.354467918163553384e-18
3.287500000000000711e+01 3.436766687236464287e-18
3.342500000000000426e+01 1.739140650827485398e-18
3.397500000000000142e+01 9.267041144228531773e-19
3.452500000000000568e+01 4.756646030294034718e-19
3.507500000000000995e+01 2.840079026105249079e-19
3.562500000000000711e+01 1.172169901180568950e-19
3.617500000000000426e+01 6.656609529703184983e-20
3.672500000000000142e+01 3.166394090003067547e-20
3.727500000000000568e+01 2.215792827907203262e-20
3.782500000000000995e+01 9.588009389276479421e-21
3.837500000000000711e+01 5.767195952221296960e-21
3.892500000000000426e+01 2.376701865043712445e-21
3.947500000000000142e+01 1.279821844343394618e-21
4.002500000000000568e+01 7.233237261205264309e-22
4.057500000000000995e+01 3.042969173336121464e-22
4.112500000000000711e+01 1.755640487549946643e-22
4.167500000000000426e+01 9.839759764914427453e-23
4.222500000000000142e+01 7.012823420099746147e-23
4.277500000000000568e+01 2.745531989525249710e-23
4.332500000000000995e+01 1.194973138811544597e-23
4.387500000000000711e+01 6.894395258470977377e-24
4.442500000000000426e+01 3.607699568498971095e-24
4.497500000000000142e+01 2.081461581955250640e-24
4.552500000000000568e+01 1.108522029252289739e-24
4.607500000000000995e+01 4.619055816409050150e-25
4.662500000000000711e+01 3.689949291804129093e-25
4.717500000000000426e+01 7.096385147400032323e-26
4.772500000000000142e+01 8.529704302457003801e-26
4.827500000000000568e+01 4.133817475119395155e-26
4.882500000000000995e+01 1.817146825461126702e-26
4.937500000000000711e+01 6.552515727395646087e-27
4.992500000000000426e+01 4.536567247723303118e-27
5.047500000000000853e+01 3.926057420028311248e-27
5.102500000000001279e+01 2.013456074691809212e-27
5.157500000000000995e+01 1.016455212940021384e-27
5.212500000000000711e+01 2.513329895854303953e-28
5.267500000000000426e+01 3.625163017091882680e-28
5.322500000000000853e+01 1.394358076872968016e-28
5.377500000000001279e+01 4.826847768326257923e-29
5.432500000000000995e+01 3.713131872895091194e-29
5.487500000000000711e+01 1.874504388736498797e-29
5.542500000000000426e+01 4.634978364166784181e-30
5.597500000000000853e+01 4.456916480539339889e-30
5.652500000000001279e+01 0.000000000000000000e+00
5.707500000000000995e+01 2.077010066360595818e-30
5.762500000000000711e+01 1.027140483381523854e-30
5.817500000000000426e+01 1.975361690403644489e-31
5.872500000000000853e+01 2.279369105422452039e-31
5.927500000000001279e+01 6.575407865803258316e-32
5.982500000000000995e+01 9.484200803373904040e-32
6.037500000000000711e+01 3.283144713070229311e-32
6.092500000000000426e+01 1.262806479771714447e-32
6.147500000000000853e+01 1.092863938577277922e-32
6.202500000000001279e+01 4.203517614225639594e-33
6.257500000000000995e+01 3.637828035687788345e-33
6.312500000000000711e+01 0.000000000000000000e+00
6.367500000000000426e+01 0.000000000000000000e+00
6.422500000000000853e+01 0.000000000000000000e+00
6.477500000000000568e+01 0.000000000000000000e+00
6.532500000000001705e+01 1.550390438395446161e-34
6.587500000000000000e+01 0.000000000000000000e+00
6.642500000000001137e+01 0.000000000000000000e+00
6.697500000000000853e+01 1.488761710101656079e-35
6.752500000000000568e+01 8.589407863449041695e-36
6.807500000000001705e+01 9.911314476195058624e-36
6.862500000000000000e+01 0.000000000000000000e+00
6.917500000000001137e+01 0.000000000000000000e+00
6.972499999999999432e+01 9.517335197324308436e-37
