R/sigma V_t(potential)/kT
1.000000000000000000e+00 1.887361401835481090e+01
1.012000000000000011e+00 1.793366606521012940e+01
1.024000000000000021e+00 1.707108034087375970e+01
1.036000000000000032e+00 1.628193152785209108e+01
1.048000000000000043e+00 1.556237926272558347e+01
1.060000000000000053e+00 1.490866813614877096e+01
1.072000000000000064e+00 1.431712769285027242e+01
1.084000000000000075e+00 1.378417243163276495e+01
1.096000000000000085e+00 1.330630180537301221e+01
1.108000000000000096e+00 1.288010022102184315e+01
1.120000000000000107e+00 1.250223703960416977e+01
1.132000000000000117e+00 1.216946657621897110e+01
1.144000000000000128e+00 1.187862810003930036e+01
1.156000000000000139e+00 1.162664583431229026e+01
1.168000000000000149e+00 1.141052895635913877e+01
1.179999999999999938e+00 1.122737159757513403e+01
1.191999999999999948e+00 1.107435284342961523e+01
1.203999999999999959e+00 1.094873673346601350e+01
1.215999999999999970e+00 1.084787226130182880e+01
1.227999999999999980e+00 1.076919337462863346e+01
1.239999999999999991e+00 1.071021897521207578e+01
1.252000000000000002e+00 1.066855291889187995e+01
1.264000000000000012e+00 1.064188401558183905e+01
1.276000000000000023e+00 1.062798602926982383e+01
1.288000000000000034e+00 1.062471767801777922e+01
1.300000000000000044e+00 1.063002263396172076e+01
1.312000000000000055e+00 1.064192952331174524e+01
1.324000000000000066e+00 1.065855192635201654e+01
1.336000000000000076e+00 1.067808837744077444e+01
1.348000000000000087e+00 1.069882236501033290e+01
1.360000000000000098e+00 1.071912233156708361e+01
1.372000000000000108e+00 1.073744167369148705e+01
1.384000000000000119e+00 1.075231874203807791e+01
1.396000000000000130e+00 1.076237684133547035e+01
1.408000000000000140e+00 1.076632423038634734e+01
1.420000000000000151e+00 1.076295412206746960e+01
1.431999999999999940e+00 1.075114468332966844e+01
1.443999999999999950e+00 1.072985903519785289e+01
1.455999999999999961e+00 1.069814525277100081e+01
1.467999999999999972e+00 1.065513636522216956e+01
1.479999999999999982e+00 1.060005035579848887e+01
1.491999999999999993e+00 1.053219016182116086e+01
1.504000000000000004e+00 1.045094367468546359e+01
1.516000000000000014e+00 1.035578373986074929e+01
1.528000000000000025e+00 1.024626815689044257e+01
1.540000000000000036e+00 1.012203967939204396e+01
1.552000000000000046e+00 9.982826015057126412e+00
1.564000000000000057e+00 9.828439825651337003e+00
1.576000000000000068e+00 9.658778727014398768e+00
1.588000000000000078e+00 9.473825289060107124e+00
1.600000000000000089e+00 9.273647035776333425e+00
1.612000000000000099e+00 9.058396445225019633e+00
1.624000000000000110e+00 8.828310949542185426e+00
1.636000000000000121e+00 8.583712934937922867e+00
1.648000000000000131e+00 8.325009741696398180e+00
1.660000000000000142e+00 8.052693664175851751e+00
1.672000000000000153e+00 7.767341950808597240e+00
1.684000000000000163e+00 7.469616804101025132e+00
1.696000000000000174e+00 7.160265380633597410e+00
1.708000000000000185e+00 6.840119791060848442e+00
1.720000000000000195e+00 6.510097100111392088e+00
1.732000000000000206e+00 6.171199326587912815e+00
1.744000000000000217e+00 5.824513443367166587e+00
1.756000000000000227e+00 5.471211377399991527e+00
1.768000000000000238e+00 5.112550009711288368e+00
1.780000000000000249e+00 4.749871175400044443e+00
1.792000000000000259e+00 4.384601663639310587e+00
1.804000000000000270e+00 4.018253217676217126e+00
1.816000000000000281e+00 3.652422534831971657e+00
1.828000000000000291e+00 3.288791266501845278e+00
1.840000000000000302e+00 2.929126018155191691e+00
1.852000000000000091e+00 2.575278349335444972e+00
1.864000000000000101e+00 2.229184773660088936e+00
1.876000000000000112e+00 1.892866758820705542e+00
1.888000000000000123e+00 1.568430726582942913e+00
1.900000000000000133e+00 1.258068052786522006e+00
1.912000000000000144e+00 9.640550673452391583e-01
1.924000000000000155e+00 6.887530542469645356e-01
1.936000000000000165e+00 4.346082515536419111e-01
1.948000000000000176e+00 2.041518514012899965e-01
1.960000000000000187e+00 0.000000000000000000e+00
1.972000000000000197e+00 -1.751462023660603773e-01
1.984000000000000208e+00 -3.185007013386516039e-01
1.996000000000000218e+00 -4.271924884854587656e-01
2.008000000000000007e+00 -4.982656013000926754e-01
2.020000000000000462e+00 -5.286791232020935372e-01
2.032000000000000028e+00 -5.153071835369219533e-01
2.044000000000000483e+00 -4.549389575759649196e-01
2.056000000000000050e+00 -3.442786665165469273e-01
2.068000000000000504e+00 -1.799455774818918274e-01
2.080000000000000071e+00 4.152599647880905742e-02
2.092000000000000082e+00 3.236866963904821981e-01
2.104000000000000092e+00 6.701721173521036912e-01
2.116000000000000103e+00 1.084702808536726959e+00
2.128000000000000114e+00 1.571084273191484915e+00
2.140000000000000124e+00 2.133206968637577194e+00
2.152000000000000135e+00 2.775046306270280372e+00
2.164000000000000146e+00 3.500662651558949623e+00
2.176000000000000156e+00 4.314201324047011177e+00
2.188000000000000167e+00 5.219892597351960539e+00
2.200000000000000178e+00 6.222051699165369598e+00
