R/sigma V_t(potential)/kT
1.000000000000000000e+00 1.054139695632284379e+01
1.012000000000000011e+00 9.796609716453561489e+00
1.024000000000000021e+00 9.126880705392590443e+00
1.036000000000000032e+00 8.528284605646321737e+00
1.048000000000000043e+00 7.996981053795211736e+00
1.060000000000000053e+00 7.529214640493799848e+00
1.072000000000000064e+00 7.121314910470700532e+00
1.084000000000000075e+00 6.769696362528594413e+00
1.096000000000000085e+00 6.470858449544240720e+00
1.108000000000000096e+00 6.221385578468472843e+00
1.120000000000000107e+00 6.017947110326198334e+00
1.132000000000000117e+00 5.857297360216398907e+00
1.144000000000000128e+00 5.736275597312128660e+00
1.156000000000000139e+00 5.651806044860516742e+00
1.168000000000000149e+00 5.600897880182767352e+00
1.179999999999999938e+00 5.580645234674157962e+00
1.191999999999999948e+00 5.588227193804038428e+00
1.203999999999999959e+00 5.620907797115837212e+00
1.215999999999999970e+00 5.676036038227052494e+00
1.227999999999999980e+00 5.751045864829256615e+00
1.239999999999999991e+00 5.843456178688098746e+00
1.252000000000000002e+00 5.950870835643302215e+00
1.264000000000000012e+00 6.070978645608660074e+00
1.276000000000000023e+00 6.201553372572044864e+00
1.288000000000000034e+00 6.340453734595400626e+00
1.300000000000000044e+00 6.485623403814742893e+00
1.312000000000000055e+00 6.635091006440166694e+00
1.324000000000000066e+00 6.786970122755837664e+00
1.336000000000000076e+00 6.939459287119994713e+00
1.348000000000000087e+00 7.090841987964953574e+00
1.360000000000000098e+00 7.239486667797102371e+00
1.372000000000000108e+00 7.383846723196905160e+00
1.384000000000000119e+00 7.522460504818896609e+00
1.396000000000000130e+00 7.653951317391689102e+00
1.408000000000000140e+00 7.777027419717965628e+00
1.420000000000000151e+00 7.890482024674488670e+00
1.431999999999999940e+00 7.993193299212084213e+00
1.443999999999999950e+00 8.084124364355668391e+00
1.455999999999999961e+00 8.162323295204215512e+00
1.467999999999999972e+00 8.226923120930784705e+00
1.479999999999999982e+00 8.277141824782503932e+00
1.491999999999999993e+00 8.312282344080575314e+00
1.504000000000000004e+00 8.331732570220276912e+00
1.516000000000000014e+00 8.334965348670962726e+00
1.528000000000000025e+00 8.321538478976055586e+00
1.540000000000000036e+00 8.291094714753056039e+00
1.552000000000000046e+00 8.243361763693538791e+00
1.564000000000000057e+00 8.178152287563149159e+00
1.576000000000000068e+00 8.095363902201610173e+00
1.588000000000000078e+00 7.994979177522717251e+00
1.600000000000000089e+00 7.877065637514345298e+00
1.612000000000000099e+00 7.741775760238430948e+00
1.624000000000000110e+00 7.589346977830995655e+00
1.636000000000000121e+00 7.420101676502133259e+00
1.648000000000000131e+00 7.234447196536008207e+00
1.660000000000000142e+00 7.032875832290861773e+00
1.672000000000000153e+00 6.815964832199006729e+00
1.684000000000000163e+00 6.584376398766834448e+00
1.696000000000000174e+00 6.338857688574806915e+00
1.708000000000000185e+00 6.080240812277457607e+00
1.720000000000000195e+00 5.809442834603400385e+00
1.732000000000000206e+00 5.527465774355320605e+00
1.744000000000000217e+00 5.235396604409975119e+00
1.756000000000000227e+00 4.934407251718198495e+00
1.768000000000000238e+00 4.625754597304895022e+00
1.780000000000000249e+00 4.310780476269051142e+00
1.792000000000000259e+00 3.990911677783717249e+00
1.804000000000000270e+00 3.667659945096023666e+00
1.816000000000000281e+00 3.342621975527177103e+00
1.828000000000000291e+00 3.017479420472450435e+00
1.840000000000000302e+00 2.693998885401196475e+00
1.852000000000000091e+00 2.374031929856848411e+00
1.864000000000000101e+00 2.059515067456892279e+00
1.876000000000000112e+00 1.752469765892908482e+00
1.888000000000000123e+00 1.455002446930545146e+00
1.900000000000000133e+00 1.169304486409523891e+00
1.912000000000000144e+00 8.976522142436407226e-01
1.924000000000000155e+00 6.424069144207655846e-01
1.936000000000000165e+00 4.060148250028427497e-01
1.948000000000000176e+00 1.910071381258903744e-01
1.960000000000000187e+00 0.000000000000000000e+00
1.972000000000000197e+00 -1.643054890906607834e-01
1.984000000000000208e+00 -2.991232747878525000e-01
1.996000000000000218e+00 -4.015823486592600688e-01
2.008000000000000007e+00 -4.687267481984944140e-01
2.020000000000000462e+00 -4.975155568250957394e-01
2.032000000000000028e+00 -4.848229038845245364e-01
2.044000000000000483e+00 -4.274379646481680783e-01
2.056000000000000050e+00 -3.220649603133503569e-01
2.068000000000000504e+00 -1.653231580032959447e-01
2.080000000000000071e+00 4.625312923280483490e-02
2.092000000000000082e+00 3.162145424198775090e-01
2.104000000000000092e+00 6.481966766568985072e-01
2.116000000000000103e+00 1.045920081116921141e+00
2.128000000000000114e+00 1.513190259047078934e+00
2.140000000000000124e+00 2.053897667768571189e+00
2.152000000000000135e+00 2.672017718676673592e+00
2.164000000000000146e+00 3.371610777240742429e+00
2.176000000000000156e+00 4.156822163004203929e+00
2.188000000000000167e+00 5.031882149584552266e+00
2.200000000000000178e+00 6.001105964673361548e+00
