R/sigma V_t(potential)/kT
1.000000000000000000e+00 1.470750548733882823e+01
1.012000000000000011e+00 1.386513789083184633e+01
1.024000000000000021e+00 1.309898052313317507e+01
1.036000000000000032e+00 1.240510806674920552e+01
1.048000000000000043e+00 1.177968015826039583e+01
1.060000000000000053e+00 1.121894138832128540e+01
1.072000000000000064e+00 1.071922130166048603e+01
1.084000000000000075e+00 1.027693439708068013e+01
1.096000000000000085e+00 9.888580127458626023e+00
1.108000000000000096e+00 9.550742899745157999e+00
1.120000000000000107e+00 9.260092074965184494e+00
1.132000000000000117e+00 9.013381968217684559e+00
1.144000000000000128e+00 8.807451848675713180e+00
1.156000000000000139e+00 8.639225939586403058e+00
1.168000000000000149e+00 8.505713418270952175e+00
1.179999999999999938e+00 8.404008416124646885e+00
1.191999999999999948e+00 8.331290018616828164e+00
1.203999999999999959e+00 8.284822265290925358e+00
1.215999999999999970e+00 8.261954149764440203e+00
1.227999999999999980e+00 8.260119619728945040e+00
1.239999999999999991e+00 8.276837576950088149e+00
1.252000000000000002e+00 8.309711877267591973e+00
1.264000000000000012e+00 8.356431330595249563e+00
1.276000000000000023e+00 8.414769700920935236e+00
1.288000000000000034e+00 8.482585706306590367e+00
1.300000000000000044e+00 8.557823018888232269e+00
1.312000000000000055e+00 8.638510264875955968e+00
1.324000000000000066e+00 8.722761024553927101e+00
1.336000000000000076e+00 8.808773832280383687e+00
1.348000000000000087e+00 8.894832176487643238e+00
1.360000000000000098e+00 8.979304499682093876e+00
1.372000000000000108e+00 9.060644198444196107e+00
1.384000000000000119e+00 9.137389623428486374e+00
1.396000000000000130e+00 9.208164079363580612e+00
1.408000000000000140e+00 9.271675825052156483e+00
1.420000000000000151e+00 9.326718073370978246e+00
1.431999999999999940e+00 9.372168991270875438e+00
1.443999999999999950e+00 9.406991699776760640e+00
1.455999999999999961e+00 9.430234273987608162e+00
1.467999999999999972e+00 9.441029743076477132e+00
1.479999999999999982e+00 9.438596090290495511e+00
1.491999999999999993e+00 9.422236252950867197e+00
1.504000000000000004e+00 9.391338122452870252e+00
1.516000000000000014e+00 9.345374544265855121e+00
1.528000000000000025e+00 9.283903317933248189e+00
1.540000000000000036e+00 9.206567197072550002e+00
1.552000000000000046e+00 9.113093889375331713e+00
1.564000000000000057e+00 9.003296056607243969e+00
1.576000000000000068e+00 8.877071314608004471e+00
1.588000000000000078e+00 8.734402233291412188e+00
1.600000000000000089e+00 8.575356336645338473e+00
1.612000000000000099e+00 8.400086102731725290e+00
1.624000000000000110e+00 8.208828963686590541e+00
1.636000000000000121e+00 8.001907305720028063e+00
1.648000000000000131e+00 7.779728469116204082e+00
1.660000000000000142e+00 7.542784748233357206e+00
1.672000000000000153e+00 7.291653391503801984e+00
1.684000000000000163e+00 7.026996601433930678e+00
1.696000000000000174e+00 6.749561534604202606e+00
1.708000000000000185e+00 6.460180301669153025e+00
1.720000000000000195e+00 6.159769967357396681e+00
1.732000000000000206e+00 5.849332550471617154e+00
1.744000000000000217e+00 5.529955023888571297e+00
1.756000000000000227e+00 5.202809314559095455e+00
1.768000000000000238e+00 4.869152303508092139e+00
1.780000000000000249e+00 4.530325825834547793e+00
1.792000000000000259e+00 4.187756670711514140e+00
1.804000000000000270e+00 3.842956581386120618e+00
1.816000000000000281e+00 3.497522255179574380e+00
1.828000000000000291e+00 3.153135343487147857e+00
1.840000000000000302e+00 2.811562451778194305e+00
1.852000000000000091e+00 2.474655139596146913e+00
1.864000000000000101e+00 2.144349920558490830e+00
1.876000000000000112e+00 1.822668262356807123e+00
1.888000000000000123e+00 1.511716586756743919e+00
1.900000000000000133e+00 1.213686269598023060e+00
1.912000000000000144e+00 9.308536407944399960e-01
1.924000000000000155e+00 6.655799843338651156e-01
1.936000000000000165e+00 4.203115382782424136e-01
1.948000000000000176e+00 1.975794947635901577e-01
1.960000000000000187e+00 0.000000000000000000e+00
1.972000000000000197e+00 -1.697258457283605804e-01
1.984000000000000208e+00 -3.088119880632520520e-01
1.996000000000000218e+00 -4.143874185723593895e-01
2.008000000000000007e+00 -4.834961747492935169e-01
2.020000000000000462e+00 -5.130973400135946383e-01
2.032000000000000028e+00 -5.000650437107232449e-01
2.044000000000000483e+00 -4.411884611120664990e-01
2.056000000000000050e+00 -3.331718134149486144e-01
2.068000000000000504e+00 -1.726343677425938861e-01
2.080000000000000071e+00 4.388956285580702943e-02
2.092000000000000082e+00 3.199506194051798813e-01
2.104000000000000092e+00 6.591843970045011547e-01
2.116000000000000103e+00 1.065311444826824161e+00
2.128000000000000114e+00 1.542137266119282035e+00
2.140000000000000124e+00 2.093552318203074414e+00
2.152000000000000135e+00 2.723532012473476982e+00
2.164000000000000146e+00 3.436136714399846248e+00
2.176000000000000156e+00 4.235511743525607997e+00
2.188000000000000167e+00 5.125887373468256847e+00
2.200000000000000178e+00 6.111578831919366017e+00
