x_i     y_i     theta_i
3.506279870947072386e+00 4.851389649543798477e+00 8.431678498229929630e+01
-2.110971279253612831e+00 2.730145030264382822e+00 1.390412931515099331e+02
-2.825984571110240484e+00 -4.594951522795961196e+00 4.069472892339422998e+01
-1.505021778243485153e+00 4.038522823212050028e+00 -4.753474298806096243e+01
-3.912401299207497907e+00 5.335547929917312082e+00 1.041365662224792601e+02
-4.866920124141732806e+00 -1.380921943173418986e+00 -1.318235991769737439e+02
1.233932915372812182e-02 2.984267873315518127e+00 1.199447946326706500e+02
-5.766990701825777776e+00 -3.660510212794474416e+00 -7.362313534778742508e+01
3.081863121870431765e+00 -1.006875390813629645e+00 7.733626272000289248e+01
3.306194510889141736e+00 2.531355541277382049e+00 -3.854580548016141961e+01
2.111326609011664690e+00 5.147822461756550005e+00 2.802775199286096353e+01
4.767912538987657989e+00 4.182710836021122702e+00 3.884755556436111590e+01
2.312439149197567545e+00 -1.983314997705885929e+00 -1.845935674758780465e+01
-2.135928614282516236e-01 -5.296307548650714736e+00 -4.636089402288436645e+01
-4.602016140987292836e+00 -4.113894482072763203e+00 -6.985628269352260133e+01
-9.418965799938749939e-01 2.459280071078919327e+00 1.034841560199097046e+02
4.513968611526617991e+00 5.187735284996669805e+00 -8.628501972153715727e+00
5.346585323810409740e+00 3.215579513561522162e+00 -5.494742256179325324e+01
